### Space
Debris	Mảnh vỡ nhỏ
Epidemic	Bệnh Dịch
Surgery	Phẫu Thuật
Inject	Tiêm
Diabetes	Tiểu Đường
Obesity	Béo Phì
Healthcare	Y Tế
Counter-Productive	Phản Tác Dụng
Caloric Intake	Lượng Calo Hấp Thụ

### History
Descend From Sth	Bắt Nguồn Từ
Precede	Đi Trước
Plateau	Cao Nguyên
Circuitous	Loanh Quanh, Vòng Quanh
Ascent	Sự Đi Lên
Hindsight	Nhận Thức Sau Khi Việc Đã Xảy Ra
Retrospect	Nhận Thức Sau Khi Việc Đã Xảy Ra
Dimension	Chiều, Kích Thước, Khổ
Historian	Nhà Sử Học
Origin	Nguồn Gốc
Archaeologist	Nhà Khảo Cổ Học
Date Back To	Đã Tồn Tại Từ
Refractive	Có Tính Khúc Xạ
Astronomy	Thiên Văn Học
Revolution	Cuộc Cách Mạng
Traditional	Có Tính Truyền Thống
Commemoration	Sự Kỉ Niệm
Regeneration	Sự Tái Sinh
Outdated	Lỗi Thời
Overladen	Chất Quá Đầy
Dispute	Tranh Chấp
Initiate	Bắt Đầu
Reveal	Lộ Ra
Excavation	Khai Quật
Artefact	Tạo Tác
Salvage	Cứu Vớt
Civilisation	Nền Văn Minh
Ancestor	Tổ Tiên
Sediment	Trầm Tích
Descendant	Hậu Duệ
Civil War	Nội Chiến
Cannibalism	Tục Ăn Thịt Người
Collapse	Sụp Đổ
Catastrophe	Thảm Họa
Prehistoric	Tiền Sử
Pioneer	Người Tiên Phong
Steward	Người Tùy Tùng
Legend	Huyền Thoại
Millennium	Thiên Niên Kỉ
Entitle	Trao Quyền
Emperor	Đức Vua
Noble	Danh Giá
Conquer	Chinh Phục
Merchant	Thương Nhân
Antique	Đồ Cổ

### Language
Bilingual	Thông Thạo Hai Thứ Tiếng
Auditory	Thính Giác
Linguistic	Ngôn Ngữ
Perceptual	Tri Giác
Metaphor	Phép Ẩn Dụ
Paradigm	Mô Hình
Taxonomic	Thuộc Sự Phân Loại
Discrete	Riêng Biệt, Riêng Rẽ
Ambiguity	Sự Tối Nghĩa
Conjunction	Sự Liên Kết
Etymology	Nguồn Gốc Từ
Constituent	Thành Phần
Dialect	Tiếng Địa Phương
Idiolect	Vốn Từ Vựng Mà Một Người Biết Và Sử Dụng
Concept	Khái Niệm
Interpret	Biên Dịch
Polyglot	Người Biết Nhiều Ngôn Ngữ
Chaos	Hỗn Loạn
Lexical	Từ Vựng
Heyday	Thời Kì Hoàng Kim
Poet	Nhà Thơ
Critic	Nhà Phê Bình
Quotation	Lời Trích Dẫn
Analogy	Sự Tương Đồng
Encyclopaedia	Bách Khoa Toàn Thư
Decipher	Giải Mã
Narrative	Chuyện Kể
Invective	Lời Lăng Mạ
Polemic	Bút Chiến, Cuộc Tranh Luận
Codify	Hệ Thống Hóa
Expression	Sự Diễn Đạt
Eloquent	Hùng Biện
Subtle	Tinh Tế
Exotic	Ngoại Lai
Verbal	Bằng Lời
Encode	Mã Hóa

### Psychology
Stimuli	Kích Thích
Dopamine	Hóoc Môn Hạnh Phúc
Neuron	Nơ Ron
Trigger	Kích Hoạt
Invoke	Kích Thích
Meditation	Thiền
Sensory	Thuộc Về Giác Quan
Theoretical	Lý Thuyết
Mechanism	Cơ Chế
Psychic	Ngoại Cảm
Cognitive	Nhận Thức
Mesmerise	Lôi Cuốn
Hypnosis	Thôi Miên
Placebo	Giả Dược
Instinct	Bản Năng
Hard-Wired	Khắc Sâu Vào
Intuitive	Trực Giác
Molecular	Thuộc Phân Tử
Innovative	Cách Tân Đổi Mới
Inherent	Cố Hữu
Introvert/Extrovert	Hướng Nội/Ngoại
Spontaneous	Tự Phát
Intimidate	Hăm Dọa
Fluid	Chất Lỏng
The Nervous System	Hệ Thần Kinh
Blur, Fuzzy	Mờ
Abstract	Trừu Tượng
Mimic	Bắt Chước
Perceive	Nhận Thức
Distinct	Khác Biệt
Conjecture	Phỏng Đoán
Novelty	Tính Mới Lạ
Phobia	Ám Ảnh
Perception	Nhận Thức
Intertwine	Bện Chặt
Arousal	Khơi Dậy, Đánh Thức
Hypothesis	Giả Thiết
Deception	Lừa Dối
Delusion	Ảo Tưởng

### Technology
Gadget	Thiết Bị
Mechanical	Thuộc Về Cơ Khí
Capacity	Dung Tích
Ventilation System	Hệ Thống Thông Khí
Airstream	Dòng Không Khí
Computer-Controlled	Điều Khiển Bằng Máy Tính
Harsh Condition	Điều Kiện Khắc Nghiệt
Unconscious	Vô Thức
Compound	Hợp Chất
Foundation	Nền Móng, Nền Tảng
Shift	Ca Kíp, Sự Dịch Chuyển
Cell Line	Chuỗi Tế Bào
Deprive	Lấy Đi, Cướp Đoạt
Virtual World	Thế Giới Ảo
Cognitive	Thuộc Về Nhận Thức
Pressure	Áp Lực, Áp Suất
Regulate	Điều Tiết
Consensus	Sự Đồng Thuận
Theorist	Nhà Lý Thuyết Học
Mass	Khối Lượng
Constrain	Hạn Chế, Ràng Buộc
Vertical	Thẳng Đứng
Horizontal	Nằm Ngang
Abrupt	Đột Ngột
Unconvinced	Không Thuyết Phục
Harness	Tận Dụng
Bear	Chống Chịu, Chống Đỡ
Sophistication	Sự Tinh Vi
Burst	Bùng Nổ
Arousal	Sự Khơi Dậy
Unpredictable	Không Thể Dự Đoán Được
Fatigue	Sự Mỏi (Của Kim Loại), Mệt Mỏi (Của Con Người)
Variable	Biến Số
Transient	Ngắn Ngủi, Thoáng Qua
Distractible	Dễ Mất Tập Trung
Revolutionary	Mang Tính Cách Mạng
Natural Substance	Hợp Chất Tự Nhiên
Reshaped	Được Định Hình Lại
Patent	Bản Quyền
Hollow	Rỗng
Mould	Khuôn, Đúc
Artificial Intelligence	Trí Thông Minh Nhân Tạo
Coin A Term	Đưa Ra Một Thuật Ngữ
Breakthrough	Đột Phá
Prototype	Sản Phẩm Mẫu, Vật Mẫu
Materialise	Vật Chất Hóa, Cụ Thể Hóa

